Portfolio,Total Return,Annual Return,Sharpe Ratio,Max Drawdown
Strategy,0.584253018018347,0.5930597602820129,1.9983838410645445,0.19017174933895897
Benchmark,0.8584471310649777,0.8723756496240147,1.9796811511781627,0.24765462528214766
