Portfolio,TSLA,BND,SPY,Return,Volatility,Sharpe
Max Sharpe,0.34736,0.22089,0.43175,0.2989177102530156,0.28938415198260864,1.0329442998349816
Min Vol,0.0,0.95934,0.04066,0.01871398033229752,0.06553621295697626,0.2855517505197169
